Invoice No.,Category,Item Name,Final Total,Qty.,Time of day
21521,Hot Coffee,Cappucino (250 ML),246.44,1,Evening
21521,Food Menu,Berliner Mix 3 Pcs (Nutella Berliner),65.71,1,Evening
21521,Food Menu,Berliner Mix 3 Pcs (Dark Choco Mousse Berliner),65.71,1,Evening
21521,SEASONAL MENU,Rosella Cheesecake Berliner,87.61,1,Evening
21520,Hot Coffee,Double Restritto 44 Ml,180.71,1,Evening
21519,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Evening
21519,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Evening
21519,Food Menu,Tartlets (chocolate Tartlet),54.76,1,Evening
21518,Hot Coffee,Cappucino (250 ML),246.44,1,Evening
21518,Food Menu,Mix Berliner 2 Pcs (Lotus Biscoff Berliner),71.19,1,Evening
21518,Food Menu,Mix Berliner 2 Pcs (Dark Choco Mousse Berliner),71.19,1,Evening
C2383,Food Menu,Baked Pav Bhaji,76.19,1,Evening
C2383,Food Menu,Baked Vada Pav,152.38,2,Evening
21517,Food Menu,Baked Pav Bhaji,80,1,Evening
21517,Food Menu,Yellow Banana Chips 60 Gm,84,1,Evening
21516,Food Menu,Baked Vada Pav,160,2,Afternoon
21516,Sweet,Papparoti (Plain),175.01,1,Afternoon
21516,Hot Coffee,Cafe Latte (250 ML),235.01,1,Afternoon
21516,Extra Toppings,Add On Syrup (Add On Irish Syrup),50,1,Afternoon
21516,Hot Coffee,Cafe Mocha (350 ML),275,1,Afternoon
21516,Food Menu,Baked Vada Pav,79.99,1,Afternoon
21515,Manual Brew,Cold Brew,215,1,Afternoon
21514,Hot Coffee,South Indian Filter Kaapi (150 ML),3373.25,22,Afternoon
21514,Hot Coffee,Americano (250 ML),810.48,4,Afternoon
21514,Sweet,Papparoti (Plain),1533.36,8,Afternoon
21514,Cold Coffee,Origanal South Indian Frappe (350 ML),668.1,2,Afternoon
21513,Sweet,Choco-crinkle-cookies (COMBO 3 PCS),76.68,1,Afternoon
21513,Cold Coffee,Sea Salt Dark Mocha Frappe (450 ML),427.15,1,Afternoon
21513,Cold Coffee,Almond Frappe (350 ML),334.05,1,Afternoon
21513,Sweet,Papparoti (Plain),191.68,1,Afternoon
21512,Cold Coffee,Madagascar Chocochip Frappe (350 ML),366.92,1,Afternoon
21512,Cold Coffee,Iced Latte (350 ML),246.44,1,Afternoon
21512,Sweet,Papparoti (Plain),191.68,1,Afternoon
21512,Food Menu,Tartlets (chocolate Tartlet),54.76,1,Afternoon
21511,Cold Coffee,Vietnamese (450 ML),365,1,Afternoon
21511,Hot Coffee,South Indian Filter Kaapi (250 ML),189.99,1,Afternoon
21511,Hot Coffee,Cappucino (250 ML),235.01,1,Afternoon
21510,Cold Coffee,Hazelnut Frappe (350 ML),320,1,Afternoon
21509,Hot Coffee,Flat White 250 Ml,239.99,1,Afternoon
21509,Milk,ALMOND MILK (200 ML),89.99,1,Afternoon
21508,Food Menu,Baked Vada Pav,175.24,2,Afternoon
21508,Cold Coffee,Nariyal Irish Cream Frappe (350 ML),334.05,1,Afternoon
21508,Food Menu,Calzones Veg (Calzone Veg),76.68,1,Afternoon
21508,Sweet,Papparoti (Add On Nutella sauce),536.68,2,Afternoon
21508,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Afternoon
21507,Hot Coffee,South Indian Filter Kaapi (250 ML),189.99,1,Afternoon
21507,Food Menu,Mix Berliner 2 Pcs (Nutella Berliner),65,1,Afternoon
21506,Hot Coffee,South Indian Filter Kaapi (250 ML),134.99,1,Afternoon
21505,Hot Coffee,Americano (250 ML),189.99,1,Afternoon
21504,Hot Coffee,Cappucino (250 ML),235.01,1,Afternoon
21504,Manual Brew,Aeropress,260,1,Afternoon
21504,Sweet,Papparoti (Plain),175.01,1,Afternoon
21503,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Afternoon
C2382,Food Menu,Baked Vada Pav,76.19,1,Afternoon
21502,Food Menu,Chicken Calzone,76.68,1,Afternoon
21502,Food Menu,Baked Vada Pav,87.61,1,Afternoon
21502,Cold Coffee,Vietnamese (350 ML),334.05,1,Afternoon
21502,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Afternoon
21502,SEASONAL MENU,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,175.24,2,Afternoon
21502,SEASONAL MENU,Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),164.29,1,Afternoon
21502,Sweet,Papparoti (Plain),191.68,1,Afternoon
21501,Cold Coffee,Almond Frappe (350 ML),394.99,1,Afternoon
21500,Cold Coffee,Nariyal Irish Cream Frappe (450 ML),389.26,1,Afternoon
21500,Hot Coffee,South Indian Filter Kaapi (250 ML),205.33,1,Afternoon
21500,Cold Coffee,Origanal South Indian Frappe (350 ML),337.94,1,Afternoon
21499,Manual Brew,Pour Over,284.76,1,Afternoon
21498,Manual Brew,Cold Brew,690,2,Afternoon
21497,Hot Coffee,South Indian Filter Kaapi (150 ML),153.32,1,Afternoon
21497,Cold Coffee,Classic Frappe (350 ML),301.19,1,Afternoon
21496,Cold Coffee,Classic Frappe (350 ML),285.01,1,Afternoon
21495,Cold Coffee,Sea Salt Dark Mocha Frappe (350 ML),383.32,1,Day
21494,Manual Brew,Aeropress,284.76,1,Day
21494,Hot Coffee,Cappucino (250 ML),246.44,1,Day
21494,Sweet,Papparoti (Plain),191.68,1,Day
21493,Cold Coffee,Sea Salt Dark Mocha Frappe (350 ML),383.32,1,Day
21492,Cold Coffee,Iced Americano (450 Ml),288.75,1,Day
21491,Hot Coffee,Americano (350 ML),220,1,Day
21491,Cold Coffee,Classic Frappe (350 ML),570,2,Day
21490,Cold Coffee,Iced Latte (350 ML),235.01,1,Day
21490,Cold Coffee,Iced Americano (450 ML),220,1,Day
C2381,Sweet,Papparoti (Plain),166.67,1,Day
21489,Hot Coffee,Americano (250 ML),202.61,1,Day
21488,Hot Coffee,Americano (250 ML),202.61,1,Day
21488,Hot Coffee,South Indian Filter Kaapi (250 ML),202.61,1,Day
21487,Hot Chocolate,Hot Chocolate (250 ML),295.71,1,Day
21486,Hot Coffee,South Indian Filter Kaapi (250 ML),189.99,1,Day
21485,Hot Coffee,South Indian Filter Kaapi (150 ML),306.67,2,Day
21485,Food Menu,Baked Vada Pav,87.61,1,Day
21485,Sweet,Plain Nankhatai Veg,328.56,1,Day
21484,Hot Coffee,Cafe Latte (250 ML),235.01,1,Day
C2380,Hot Coffee,South Indian Filter Kaapi (250 ML),176.19,1,Night
C2379,Hot Coffee,South Indian Filter Kaapi (250 ML),176.19,1,Night
21483,Hot Coffee,Cappucino (350 ML),273.81,1,Night
21483,Food Menu,Baked Vada Pav,87.61,1,Night
21483,Food Menu,Hyderabadi Chicken Keema Pav,87.61,1,Night
21483,Food Menu,Calzones Veg (Calzone Paneer),153.33,2,Night
21483,Sweet,Choco-crinkle-cookies (COMBO 3 PCS),76.68,1,Night
C2378,Sweet,Choco-crinkle-cookies (COMBO 3 PCS),66.67,1,Night
C2378,Cold Coffee,Vietnamese (350 ML),290.48,1,Night
C2377,Savouries,White Loaf Bread,104.76,1,Night
21482,Cold Coffee,Madagascar Chocochip Frappe (350 ML),366.92,1,Night
21481,Hot Coffee,South Indian Filter Kaapi (250 Ml),132,1,Night
21480,Hot Chocolate,Madagascar Hot Chocolate (250 ML),657.14,2,Night
21480,Hot Chocolate,Hot Chocolate (250 ML),591.43,2,Night
21479,Food Menu,Baked Vada Pav,79.99,1,Night
21479,Hot Coffee,South Indian Filter Kaapi (250 ML),380,2,Night
21478,Hot Chocolate,Hot Chocolate (250 Ml),247.5,1,Night
21477,Hot Coffee,South Indian Filter Kaapi (250 ML),202.61,1,Night
21477,Food Menu,Chicken Calzone,76.68,1,Night
21477,Food Menu,Hyderabadi Soya Keema Pav,87.61,1,Night
21477,Food Menu,Berliners (Nutella Berliner),76.68,1,Night
21477,Hot Coffee,Cappucino (350 ML),547.64,2,Night
21477,Food Menu,Yellow Banana Chips 60 Gm,65.71,1,Night
21476,Hot Coffee,Cappucino (350 ML),273.81,1,Night
21475,Hot Coffee,Cappucino (350 ML),260,1,Night
21475,Food Menu,Berliner Mix 3 Pcs (Lotus Biscoff Berliner),60,1,Night
