ORANGE JUICE,,,,,,,,,,,
Madagascar Chocochip Frappe (350 ML),Cafe Latte (250 ML),Flat White 250 Ml,,,,,,,,,
Iced Latte (350 ML),,,,,,,,,,,
Americano (250 ML),,,,,,,,,,,
Madagascar Chocochip Frappe (350 ML),Vietnamese (350 ML),,,,,,,,,,
Choco-crinkle-cookies (COMBO 3 PCS),,,,,,,,,,,
South Indian Filter Kaapi (150 ML),Baked Vada Pav,Chicken Calzone,Whole Wheat Ladi Pav 4 Pc,,,,,,,,
South Indian Filter Kaapi (250 ML),,,,,,,,,,,
Cafe Latte (250 ML),,,,,,,,,,,
Origanal South Indian Frappe (350 ML),Iced Latte (350 ML),Almond Honey Latte (350 ML),Berliner Mix 3 Pcs (Lotus Biscoff Berliner),Berliner Mix 3 Pcs (Nutella Berliner),Rosella Cheesecake Berliner,,,,,,
Chicken Calzone,,,,,,,,,,,
Baked Vada Pav,Hyderabadi Chicken Keema Pav,,,,,,,,,,
Vietnamese (350 ML),Berliners (Nutella Berliner),,,,,,,,,,
CHILLI GUVAVA JUICE,,,,,,,,,,,
South Indian Filter Kaapi (150 ML),,,,,,,,,,,
South Indian Filter Kaapi (150 ML),,,,,,,,,,,
Americano (250 ML),Baked Pav Bhaji,,,,,,,,,,
South Indian Filter Kaapi (250 ML),,,,,,,,,,,
South Indian Filter Kaapi (150 ML),Pour Over,,,,,,,,,,
Madagascar Hot Chocolate (350 ML),South Indian Filter Kaapi (150 ML),,,,,,,,,,
Plain Nankhatai Veg,Add On Syrup (Add On hazelnuts Syrup),,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS),Chicken Calzone,Baked Pav Bhaji,Cappucino (350 ML),Berliners (Blueberry Cheese Cake Berliner),Strawbery Rosella Frangipani Tart,Madagascar Chocochip Frappe (350 ML),,,,,
Papparoti (Add On Nutella sauce),Origanal South Indian Frappe (350 ML),,,,,,,,,,
Vietnamese (350 ML),Tartlets (chocolate Tartlet),Tartlets (Filter Kaapi Tartlet),Tartlets (Salted Caramel Tartlet),Strawberry White Chocolate Ganache With Rosella Jam Macaroon,,,,,,,
Iced Latte (350 ML),Vietnamese (450 ML),,,,,,,,,,
Classic Frappe (350 ML),Strawberry White Chocolate Ganache With Rosella Jam Macaroon,Calzones Veg (Calzone Paneer),Baked Vada Pav,,,,,,,,
Iced Americano (350 Ml),,,,,,,,,,,
Cappucino (350 ML),,,,,,,,,,,
MANGO JUICE,,,,,,,,,,,
South Indian Filter Kaapi (150 ML),,,,,,,,,,,
Cappucino (350 ML),,,,,,,,,,,
Calzones Veg (Calzone Paneer),Rosella Cheesecake Berliner,Calzones Veg (Calzone Veg),Baked Pav Bhaji,Hyderabadi Chicken Keema Pav,Choco-crinkle-cookies (COMBO 3 PCS),Papparoti (Plain),,,,,
CHILLI GUVAVA JUICE,Americano (250 ML),Iced Americano (350 ML),,,,,,,,,
Baked Vada Pav,South Indian Filter Kaapi (150 ML),,,,,,,,,,
Almond Frappe (450 ML),Papparoti (Add On Nutella sauce),,,,,,,,,,
Classic Frappe (350 ML),OAT MILK (200 ML),South Indian Filter Kaapi (150 ML),,,,,,,,,
Origanal South Indian Frappe (350 ML),,,,,,,,,,,
Almond Frappe (450 ML),Classic Frappe (450 ML),Cappucino (250 ML),Add On Syrup (Add On hazelnuts Syrup),Hyderabadi Soya Keema Pav,,,,,,,
Hyderabadi Chicken Keema Pav,Spicy Banana Chips 60 Gm,Choco-crinkle-cookies (with Egg) (COMBO 3 PCS),,,,,,,,,
Cafe Mocha (250 ML),Madagascar Chocochip Frappe (350 ML),,,,,,,,,,
Hot Chocolate (250 ML),,,,,,,,,,,
Hot Chocolate (250 ML),Vietnamese (350 ML),Kaapicino (250 ML),,,,,,,,,
Cold Brew,Sea Salt Dark Mocha (250 ML),,,,,,,,,,
Classic Frappe (350 ML),Hyderabadi Chicken Keema Pav,Baked Vada Pav,,,,,,,,,
Classic Frappe (350 ML),Berliners (Nutella Berliner),,,,,,,,,,
Classic Frappe (450 ML),Add On Syrup (Add On Vanilla Syrup),Vietnamese (350 ML),,,,,,,,,
Caramel Frappe (350 ML),Hazelnut Frappe (350 ML),,,,,,,,,,
Classic Frappe (350 ML),Almond Honey Latte (250 ML),,,,,,,,,,
Madagascar Chocochip Frappe (350 ML),Sea Salt Dark Mocha Frappe (350 ML),,,,,,,,,,
Choco-crinkle-cookies (COMBO 3 PCS),Almond Frappe (350 ML),,,,,,,,,,
Classic Frappe (350 Ml),,,,,,,,,,,
Baked Pav Bhaji,,,,,,,,,,,
Hot Chocolate (250 ML),,,,,,,,,,,
Classic Frappe (350 Ml),,,,,,,,,,,
Double Restritto 44 Ml,,,,,,,,,,,
Hot Chocolate (250 ML),Origanal South Indian Frappe (350 ML),Tartlets (Kacha Nimbu Tartlet),,,,,,,,,
South Indian Filter Kaapi (150 ML),Papparoti (Plain),,,,,,,,,,
South Indian Filter Kaapi (150 ML),Kaapicino (250 ML),,,,,,,,,,
Madagascar Chocochip Frappe (350 ML),South Indian Filter Kaapi (150 ML),Choco-crinkle-cookies (COMBO 3 PCS),Madagascar Hot Chocolate (250 ML),,,,,,,,
Cappucino (250 ML),Berliners (Dark Choco Mousse Berliner),,,,,,,,,,
Berliners (Dark Choco Mousse Berliner),Origanal South Indian Frappe (450 ML),Classic Frappe (350 ML),,,,,,,,,
Cappucino (250 ML),Hot Chocolate (250 ML),,,,,,,,,,
Origanal South Indian Frappe (350 ML),,,,,,,,,,,
Origanal South Indian Frappe (350 ML),,,,,,,,,,,
Berliners (Nutella Berliner),,,,,,,,,,,
Hot Chocolate (250 ML),South Indian Filter Kaapi (150 ML),,,,,,,,,,
South Indian Filter Kaapi (150 ML),Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner),Mix Berliner 2 Pcs (Nutella Berliner),,,,,,,,,
Cafe Latte (250 ML),South Indian Filter Kaapi (150 ML),,,,,,,,,,
Hot Chocolate (250 ML),MANGO JUICE,,,,,,,,,,
Papparoti (Plain),South Indian Filter Kaapi (150 ML),,,,,,,,,,
Choco-crinkle-cookies (COMBO 3 PCS),Nariyal Irish Cream Frappe (350 ML),,,,,,,,,,
Origanal South Indian Frappe (450 ML),,,,,,,,,,,
South Indian Filter Kaapi (250 ML),Hyderabadi Chicken Keema Pav,South Indian Filter Kaapi (250 ML),Strawberry White Chocolate Ganache With Rosella Jam Macaroon,,,,,,,,
Madagascar Chocochip Frappe (350 ML),Origanal South Indian Frappe (350 ML),,,,,,,,,,
South Indian Filter Kaapi (150 ML),Choco-crinkle-cookies (COMBO 3 PCS),,,,,,,,,,
Cafe Latte (250 ML),Add On Syrup (Add On Caramel Syrup),,,,,,,,,,
Vietnamese (350 ML),Sea Salt Dark Mocha Frappe (350 ML),Madagascar Chocochip Frappe (350 ML),Baked Pav Bhaji,,,,,,,,
Origanal South Indian Frappe (350 ML),,,,,,,,,,,
South Indian Filter Kaapi (150 ML),,,,,,,,,,,
Baked Vada Pav,South Indian Filter Kaapi (150 ML),,,,,,,,,,
Papparoti (Add On Nutella sauce),,,,,,,,,,,
Origanal South Indian Frappe (450 ML),Spicy Banana Chips 60 Gm,Baked Vada Pav,Berliners (Lotus Biscoff Berliner),Tartlets (Salted Caramel Tartlet),,,,,,,
Classic Frappe (350 ML),Iced Mocha (350 ML),Calzones Veg (Calzone Paneer),,,,,,,,,
Iced Americano (350 ML),Origanal South Indian Frappe (350 ML),,,,,,,,,,
Classic Frappe (350 ML),Iced Latte (350 ML),Hazelnut Frappe (350 ML),Hyderabadi Chicken Keema Pav,Add On Syrup (Add On hazelnuts Syrup),,,,,,,
Hazelnut Frappe (350 ML),Cafe Mocha (350 ML),,,,,,,,,,
Flat White 250 Ml,,,,,,,,,,,
Madagascar Hot Chocolate (250 ML),Kaapicino (250 ML),Chicken Calzone,,,,,,,,,
Cappucino (350 ML),,,,,,,,,,,
