lemma_str
visit quick coffee break filter coffee amazing staff cooperative thanks sabina amazing service
spoil milk coffee spillage issue half quantity cup
nice pleasant place wonderful staff specially sabina make sunday much sweeter surely keep revisit amazing dessert coffee
love coffee serve banana chip along even ’ tastymust try crinkle cooky mssabina courteous serf u smile always
wonderful time ettarra sabina really polite attentive hospitable first visit base friend recommendation filter coffee banana chip take back lanes kerala choclate cooky melt mouth overall 9510 05 deduct strongly believe tip choice add upi payment default though biller definitely offer cancel tip pay post confrontation point default without inform customer default discussion leave bitter taste wonderful experience service give folk sabina
lovely time sabina deepak really help u throughout coffee worth value price
one place love filter coffee amazing
sabina help u pick coffee customise taste specific like professional yet warm amicable service spicy banana chip must try along coffee cafe offer thank sabina assist u lovely experience ettarra
milk bad coffee roast freshly brew coffee bad bad
amaze filter coffee hot cold love combo banana wafer …must visit
lovely time ettarra service really nice staff kind coffee great must try really aesthetic
great coffee well third wave starbucks nearby coffee taste freshly roast smooth waitress suggest try papa roti good take 2 take away buttery smooth inside crisp outer layer make powdered cinnamon leave cash home international credit card would work machine deepak super kind insist come back pay whenever 5 star service right cafe din space literally inside hotel lobby two table
fresh good taste
cheap taste coffee reallly bad cookie
love coffee herea must try good hype oneslove filter cold coffee recommend sabinathank sooo muchlovely small cozy placeeven bake vada pav die forand staff sweet friendly100 recommendedlove place
complimentary banana chip pack cherry top 🥰lovely coffeeeee
good quality
recommend south indian friend good coffee order coffee madagascar hot chocolate great along fresh banana chip free side munchies really nice also staff especially sabina really courteous helpful thanks nice experience overall
service really good vibe soothe playlist curated give peaceful experience hustle mumbai lifestyle amazing coffee hit spot give caffeine boost serve sabina delight refresh face come across service commendable sweet love come work peaceful environment
coffee mumbai yttarra juhu tata road get best hospitality team especially young lady sabina…wishing yttarra best always
fresh food
bad stale
expect banana chip little thinner crispy paparoti dry flaky burnt top
step late 1 ish ’ greet smile face ready make even numan make u two delicious coffee exactly specification precise passionate touch heart make u feel home reasonthat ’ brilliant phenomenon make 2 girl feel comfortable silently power numan
terrible packaging
paparoti char point taste burnt dry inside ’ think delivery good option maybe food well restaurant
fresh food
first time visit ettara filter kaapi exceptional cold brewloved light snack quality quick service staff good product knowledge sabina server good job amazing experience highlight outlet open 247 shall visit soon enough
excellent service sabina really nice cordial make sunday greet friendly smile really love coffeee vibe amaze lovely food service love ’ 24x7
cold filter coffee
amaze banana waffers compliment filter coffee hot filter cold coffee … small cozy place give friend private space chit chat n chill … special thanx sabina warm knowledgeable different type coffee quick bite serve cafe best wish cafe thank
warm cozy cafe serve excellent coffee special thanks ms sabina excellent service friendly approach definitely must visit
fab experience place although small warm vibe gracious enough accommodate u private din space special mention server sabina give u top class 5 service defo come back soon next round coffee
excellent service sabina love coffee try vietnamese frappe filter coffee cafe small quaint
quaint cozy little cafe go lazy evening enjoy mediterranean chocolate coffee papparoti must try neha really supportive helpful make quick choice must recommend place visit
phenomenal coffee delicious food amaze service sabina one favourite coffee place
visited ettarra lazy sunday afternoon worth filter coffee serve banana crispies flavourful authentic must visit
sabina star genuinely seem happy work show service lovely concoction well spend lazy afternoon indoor seat less coffee make
great suggestion service numan try filter coffee paparotti amaze comboreasonable pricingwill come back try coffee
fresh food
visit ettara first time wonderful coffee warm staff sabina especially fantastic hospitable wonderful make sure comfortable make recommendation food coffee ’ definitely visit
sabina really sweet kind serve good smile make service much much good 🤌 best coffee ever 🤌it ’ clean chick
amazing coffee experience place ’ good almond frappe flat white ’ forget banana chip
great place coffeeserved banana chip food sandwich bread dessert servicedefinitely worth try
rare find serves combination good coffee selective bake good tops courteous staff excellent service try south indian frappe banana bread signature paparoti croissant latte ’ everything delicious would definitely recommend go often
new favourite place coffeeethe cappuccino good great presentation even banana chip along goodthe staff kind recommend best coffeethe double chocolate chip cookie wholesome worth price best cookie indeednow know go ’ crave coffeethank give u great experience
really cute place serf good coffee paparoti try cappuccino south indian filter coffee hazelnut frappe deliver staff also friendly warm must visit place
absolutely best coffee place south indian blend cold coffee taste fresh mindblowing
